loan_id,m13
1,0.008666521914308572
2,0.010853593540768088
3,0.08083764071170016
4,0.004650796526933096
5,0.006987362317256978
6,0.003658194952317811
7,0.00523166891653605
8,0.01137920080502991
9,0.004563692698569164
10,0.06477974775682242
11,0.05364924994289859
12,0.003361753822435234
13,0.027748014745339125
14,0.011825532948916504
15,0.051432365318525346
16,3.9554634351007985
17,0.006642423028214517
18,0.008453894104660452
19,0.006074072276408699
20,0.0204889734734298
21,0.041100011343576145
22,0.008212837974503584
23,0.002989304368180077
24,0.008215389846083176
25,0.0019016984211282194
26,0.0217240268115469
27,0.023610022045704178
28,0.02279298864477345
29,0.0026738036859685495
30,0.03227250801992436
31,0.05622406605049413
32,0.006372937691873564
33,0.006463303847074581
34,0.010638031969924112
35,0.026274505650698277
36,0.005184832088078124
37,0.03606908901726973
38,0.00997681573413713
39,0.06063745766298683
40,0.009401495362709063
41,0.0036083281741809466
42,0.06396174962696942
43,0.0036781628507327616
44,0.021466368726208926
45,0.015934604363976156
46,0.01471109589559739
47,0.010673692922472798
48,0.013355097095233057
49,0.0076490309038083956
50,0.0498735650516216
51,0.06172322971084316
52,0.017680285647557574
53,0.06064267672906547
54,0.029216738157906832
55,0.005611931888850033
56,0.010427667095772976
57,0.0022966331040241723
58,0.004000779311103182
59,0.010653839962010508
60,0.029338838760456364
61,0.00802766017258459
62,0.014490892538886954
63,0.03398757327821095
64,0.009697601185619424
65,0.005355258704941335
66,0.00905747160571291
67,0.0036724478411497997
68,0.004421610827023779
69,0.014133284595945372
70,0.00910831823579749
71,0.02634624787482414
72,0.004427327953307003
73,0.006176613370128369
74,0.00791451409772175
75,0.0025362821405622116
76,0.006158610912319905
77,0.004792795329710089
78,0.0042644926142554745
79,0.030899969573045333
80,0.016204737440168242
81,0.020809594480497653
82,0.01166100978499263
83,0.010799963072874745
84,0.003267622794260985
85,0.032513261149400084
86,0.041016839738063
87,0.006638434852362292
88,0.009954023539662892
89,0.004115120671581915
90,0.00693356542538792
91,0.005597740186834619
92,0.037322186198113345
93,0.027457866155544564
94,0.020849552179902125
95,0.011088492811716675
96,0.025515797987021426
97,0.007516001683788218
98,0.023146694164829118
99,0.004794231563060313
100,0.013814872438874404
101,0.032496656245958384
102,0.026683576568635622
103,0.04326294900025646
104,0.00841136119509105
105,0.019938005310094147
106,0.024764722460777593
107,0.0046656627592577184
108,0.002305771262274445
109,0.022026823313634335
110,0.011365693157544135
111,0.051326595854859824
112,0.014495580274781924
113,0.004601380921395321
114,0.0023440869677518114
115,0.0027547137282230728
116,0.03624193583093379
117,0.00774063729125103
118,0.004551880652027055
119,0.006686732737483783
120,0.006714931512274735
121,0.011984294623439466
122,0.03631334338103848
123,0.012133491181437247
124,0.010900458093333572
125,0.015485635424931758
126,0.0334242232233812
127,0.004043274978305019
128,0.01644276395177361
129,0.005156881118799886
130,0.0372154839823247
